date,shift,role,name,title,photo_url,notes
2026-04-11,night,attending,Dr. Alicia Romero,MD,https://i.pravatar.cc/200?img=47,
2026-04-11,night,resident,Priya Natarajan,PGY-3,https://i.pravatar.cc/200?img=48,
2026-04-11,night,resident,Thomas O'Leary,PGY-1,https://i.pravatar.cc/200?img=12,
2026-04-11,night,student,Jordan Kim,MS4,https://i.pravatar.cc/200?img=33,
2026-04-12,day,attending,Dr. Marcus Hale,MD,https://i.pravatar.cc/200?img=15,Charge
2026-04-12,day,attending,Dr. Rebecca Chen,MD,https://i.pravatar.cc/200?img=5,
2026-04-12,day,resident,Samira Khouri,PGY-2,https://i.pravatar.cc/200?img=49,
2026-04-12,day,resident,Leon Park,PGY-3,https://i.pravatar.cc/200?img=13,
2026-04-12,day,resident,Emma Rothstein,PGY-1,https://i.pravatar.cc/200?img=20,
2026-04-12,day,student,Anika Patel,MS3,https://i.pravatar.cc/200?img=25,
2026-04-12,day,student,Benjamin Ortiz,MS4,https://i.pravatar.cc/200?img=14,
2026-04-12,evening,attending,Dr. Yusuf Abadi,MD,https://i.pravatar.cc/200?img=17,
2026-04-12,evening,attending,Dr. Helen Park,MD,https://i.pravatar.cc/200?img=9,
2026-04-12,evening,resident,Noah Reddick,PGY-3,https://i.pravatar.cc/200?img=11,
2026-04-12,evening,resident,Maria Delacroix,PGY-2,https://i.pravatar.cc/200?img=32,
2026-04-12,evening,student,Rafael Mendez,MS4,https://i.pravatar.cc/200?img=52,
2026-04-12,night,attending,Dr. Sanjay Krishnan,MD,https://i.pravatar.cc/200?img=60,
2026-04-12,night,resident,Caitlin Murphy,PGY-2,https://i.pravatar.cc/200?img=45,
2026-04-12,night,resident,Evan Wallace,PGY-1,https://i.pravatar.cc/200?img=4,
2026-04-12,night,student,Zara Okonkwo,MS3,https://i.pravatar.cc/200?img=44,
2026-04-13,day,attending,Dr. Rebecca Chen,MD,https://i.pravatar.cc/200?img=5,
2026-04-13,day,attending,Dr. Marcus Hale,MD,https://i.pravatar.cc/200?img=15,
2026-04-13,day,resident,Leon Park,PGY-3,https://i.pravatar.cc/200?img=13,
2026-04-13,day,resident,Thomas O'Leary,PGY-1,https://i.pravatar.cc/200?img=12,
2026-04-13,day,student,Anika Patel,MS3,https://i.pravatar.cc/200?img=25,
2026-04-13,evening,attending,Dr. Alicia Romero,MD,https://i.pravatar.cc/200?img=47,
2026-04-13,evening,resident,Samira Khouri,PGY-2,https://i.pravatar.cc/200?img=49,
2026-04-13,evening,resident,Emma Rothstein,PGY-1,https://i.pravatar.cc/200?img=20,
2026-04-13,evening,student,Benjamin Ortiz,MS4,https://i.pravatar.cc/200?img=14,
